DEPTH,Northing,Easting,PHI,Vsh,Easting,Northing
 0.9905000E+03,0.6856000E+07,0.5040000E+06,0.2110476E+00,0.6571429E+00,0.1720038E-38,0.1401298E-44,
 0.9915000E+03,0.6856000E+07,0.5040000E+06,0.2020808E+00,0.6783333E+00,0.1720038E-38,0.1401298E-44,
 0.9925000E+03,0.6856000E+07,0.5040000E+06,0.2118009E+00,0.6785714E+00,0.1720038E-38,0.1401298E-44,
 0.9935000E+03,0.6856000E+07,0.5040000E+06,0.3017778E+00,0.6950000E+00,0.1720038E-38,0.1401298E-44,
 0.9945000E+03,0.6856000E+07,0.5040000E+06,0.2071082E+00,0.6671429E+00,0.1720038E-38,0.1401298E-44,
 0.9955000E+03,0.6856000E+07,0.5040000E+06,0.2170822E+00,0.6457143E+00,0.1720038E-38,0.1401298E-44,
 0.9965000E+03,0.6856000E+07,0.5040000E+06,0.2393737E+00,0.6700000E+00,0.1720038E-38,0.1401298E-44,
 0.9975000E+03,0.6856000E+07,0.5040000E+06,0.2311688E+00,0.6828572E+00,0.1720038E-38,0.1401298E-44,
 0.9985000E+03,0.6856000E+07,0.5040000E+06,0.2393232E+00,0.6783333E+00,0.1720038E-38,0.1401298E-44,
 0.9995000E+03,0.6856000E+07,0.5040000E+06,0.2110563E+00,0.6614286E+00,0.1720038E-38,0.1401298E-44,
 0.1000500E+04,0.6856000E+07,0.5040000E+06,0.2110303E+00,0.6633334E+00,0.1720038E-38,0.1401298E-44,
 0.1001500E+04,0.6856000E+07,0.5040000E+06,0.2230996E+00,0.6942857E+00,0.1720038E-38,0.1401298E-44,
 0.1002500E+04,0.6856000E+07,0.5040000E+06,0.2157056E+00,0.6742857E+00,0.1720038E-38,0.1401298E-44,
 0.1003500E+04,0.6856000E+07,0.5040000E+06,0.2111616E+00,0.6966667E+00,0.1720038E-38,0.1401298E-44,
 0.1004500E+04,0.6856000E+07,0.5040000E+06,0.2123203E+00,0.6571429E+00,0.1720038E-38,0.1401298E-44,
 0.1005500E+04,0.6856000E+07,0.5040000E+06,0.2107475E+00,0.6816667E+00,0.1720038E-38,0.1401298E-44,
 0.1006500E+04,0.6856000E+07,0.5040000E+06,0.2069610E+00,0.6742857E+00,0.1720038E-38,0.1401298E-44,
 0.1007500E+04,0.6856000E+07,0.5040000E+06,0.2000000E+00,0.6566667E+00,0.1720038E-38,0.1401298E-44,
 0.1008500E+04,0.6856000E+07,0.5040000E+06,0.1920433E+00,0.6657143E+00,0.1720038E-38,0.1401298E-44,
 0.1009500E+04,0.6856000E+07,0.5040000E+06,0.2073737E+00,0.6333333E+00,0.1720038E-38,0.1401298E-44,
 0.1010500E+04,0.6856000E+07,0.5040000E+06,0.2023896E+00,0.6785714E+00,0.1720038E-38,0.1401298E-44,
 0.1011500E+04,0.6856000E+07,0.5040000E+06,0.2105022E+00,0.6700000E+00,0.1720038E-38,0.1401298E-44,
 0.1012500E+04,0.6856000E+07,0.5040000E+06,0.2107677E+00,0.6683334E+00,0.1720038E-38,0.1401298E-44,
 0.1013500E+04,0.6856000E+07,0.5040000E+06,0.1998095E+00,0.6485714E+00,0.1720038E-38,0.1401298E-44,
 0.1014500E+04,0.6856000E+07,0.5040000E+06,0.1791414E+00,0.6283333E+00,0.1720038E-38,0.1401298E-44,
 0.1015500E+04,0.6856000E+07,0.5040000E+06,0.1744156E+00,0.5771428E+00,0.1720038E-38,0.1401298E-44,
 0.1016500E+04,0.6856000E+07,0.5040000E+06,0.1964141E+00,0.6766667E+00,0.1720038E-38,0.1401298E-44,
 0.1017500E+04,0.6856000E+07,0.5040000E+06,0.2022597E+00,0.6471429E+00,0.1720038E-38,0.1401298E-44,
 0.1018500E+04,0.6856000E+07,0.5040000E+06,0.1887475E+00,0.6816667E+00,0.1720038E-38,0.1401298E-44,
 0.1019500E+04,0.6856000E+07,0.5040000E+06,0.2169610E+00,0.7057143E+00,0.1720038E-38,0.1401298E-44,
 0.1020500E+04,0.6856000E+07,0.5040000E+06,0.2219394E+00,0.6742857E+00,0.1720038E-38,0.1401298E-44,
 0.1021500E+04,0.6856000E+07,0.5040000E+06,0.2078788E+00,0.6850000E+00,0.1720038E-38,0.1401298E-44,
 0.1022500E+04,0.6856000E+07,0.5040000E+06,0.2136017E+00,0.6942857E+00,0.1720038E-38,0.1401298E-44,
 0.1023500E+04,0.6856000E+07,0.5040000E+06,0.2130909E+00,0.6716667E+00,0.1720038E-38,0.1401298E-44,
 0.1024500E+04,0.6856000E+07,0.5040000E+06,0.2234632E+00,0.6957143E+00,0.1720038E-38,0.1401298E-44,
 0.1025500E+04,0.6856000E+07,0.5040000E+06,0.2271515E+00,0.6683334E+00,0.1720038E-38,0.1401298E-44,
 0.1026500E+04,0.6856000E+07,0.5040000E+06,0.2322857E+00,0.6700000E+00,0.1720038E-38,0.1401298E-44,
 0.1027500E+04,0.6856000E+07,0.5040000E+06,0.2515584E+00,0.7285714E+00,0.1720038E-38,0.1401298E-44,
 0.1028500E+04,0.6856000E+07,0.5040000E+06,0.2836566E+00,0.7850000E+00,0.1720038E-38,0.1401298E-44,
 0.1029500E+04,0.6856000E+07,0.5040000E+06,0.2618095E+00,0.7500000E+00,0.1720038E-38,0.1401298E-44,
 0.1030500E+04,0.6856000E+07,0.5040000E+06,0.2221212E+00,0.6900000E+00,0.1720038E-38,0.1401298E-44,
 0.1031500E+04,0.6856000E+07,0.5040000E+06,0.2554459E+00,0.7000000E+00,0.1720038E-38,0.1401298E-44,
 0.1032500E+04,0.6856000E+07,0.5040000E+06,0.2428788E+00,0.7050000E+00,0.1720038E-38,0.1401298E-44,
 0.1033500E+04,0.6856000E+07,0.5040000E+06,0.2249004E+00,0.6900000E+00,0.1720038E-38,0.1401298E-44,
 0.1034500E+04,0.6856000E+07,0.5040000E+06,0.2264040E+00,0.7000000E+00,0.1720038E-38,0.1401298E-44,
 0.1035500E+04,0.6856000E+07,0.5040000E+06,0.2367013E+00,0.7071429E+00,0.1720038E-38,0.1401298E-44,
 0.1036500E+04,0.6856000E+07,0.5040000E+06,0.2196797E+00,0.6942857E+00,0.1720038E-38,0.1401298E-44,
 0.1037500E+04,0.6856000E+07,0.5040000E+06,0.2198687E+00,0.6916667E+00,0.1720038E-38,0.1401298E-44,
 0.1038500E+04,0.6856000E+07,0.5040000E+06,0.2235758E+00,0.6714286E+00,0.1720038E-38,0.1401298E-44,
 0.1039500E+04,0.6856000E+07,0.5040000E+06,0.2602525E+00,0.6916667E+00,0.1720038E-38,0.1401298E-44,
 0.1040500E+04,0.6856000E+07,0.5040000E+06,0.2714199E+00,0.7414286E+00,0.1720038E-38,0.1401298E-44,
 0.1041500E+04,0.6856000E+07,0.5040000E+06,0.2434949E+00,0.6966667E+00,0.1720038E-38,0.1401298E-44,
 0.1042500E+04,0.6856000E+07,0.5040000E+06,0.2293766E+00,0.6571429E+00,0.1720038E-38,0.1401298E-44,
 0.1043500E+04,0.6856000E+07,0.5040000E+06,0.2281212E+00,0.6685714E+00,0.1720038E-38,0.1401298E-44,
 0.1044500E+04,0.6856000E+07,0.5040000E+06,0.2291515E+00,0.6950000E+00,0.1720038E-38,0.1401298E-44,
 0.1045500E+04,0.6856000E+07,0.5040000E+06,0.2322771E+00,0.6728572E+00,0.1720038E-38,0.1401298E-44,
 0.1046500E+04,0.6856000E+07,0.5040000E+06,0.2320808E+00,0.6916667E+00,0.1720038E-38,0.1401298E-44,
 0.1047500E+04,0.6856000E+07,0.5040000E+06,0.2168312E+00,0.6685714E+00,0.1720038E-38,0.1401298E-44,
 0.1048500E+04,0.6856000E+07,0.5040000E+06,0.2216263E+00,0.6883333E+00,0.1720038E-38,0.1401298E-44,
 0.1049500E+04,0.6856000E+07,0.5040000E+06,0.2253074E+00,0.6785715E+00,0.1720038E-38,0.1401298E-44,
 0.1050500E+04,0.6856000E+07,0.5040000E+06,0.2109091E+00,0.6850000E+00,0.1720038E-38,0.1401298E-44,
 0.1051500E+04,0.6856000E+07,0.5040000E+06,0.2165801E+00,0.6928571E+00,0.1720038E-38,0.1401298E-44,
 0.1052500E+04,0.6856000E+07,0.5040000E+06,0.2161299E+00,0.6871428E+00,0.1720038E-38,0.1401298E-44,
 0.1053500E+04,0.6856000E+07,0.5040000E+06,0.2410202E+00,0.6683334E+00,0.1720038E-38,0.1401298E-44,
 0.1054500E+04,0.6856000E+07,0.5040000E+06,0.2279913E+00,0.6557143E+00,0.1720038E-38,0.1401298E-44,
 0.1055500E+04,0.6856000E+07,0.5040000E+06,0.2431111E+00,0.7383333E+00,0.1720038E-38,0.1401298E-44,
 0.1056500E+04,0.6856000E+07,0.5040000E+06,0.1996623E+00,0.7400000E+00,0.1720038E-38,0.1401298E-44,
 0.1057500E+04,0.6856000E+07,0.5040000E+06,0.2370909E+00,0.7883333E+00,0.1720038E-38,0.1401298E-44,
 0.1058500E+04,0.6856000E+07,0.5040000E+06,0.2132987E+00,0.7485715E+00,0.1720038E-38,0.1401298E-44,
 0.1059500E+04,0.6856000E+07,0.5040000E+06,0.1975238E+00,0.7685714E+00,0.1720038E-38,0.1401298E-44,
 0.1060500E+04,0.6856000E+07,0.5040000E+06,0.2141111E+00,0.8000000E+00,0.1720038E-38,0.1401298E-44,
 0.1061500E+04,0.6856000E+07,0.5040000E+06,0.2135671E+00,0.7557143E+00,0.1720038E-38,0.1401298E-44,
 0.1062500E+04,0.6856000E+07,0.5040000E+06,0.2181111E+00,0.7433333E+00,0.1720038E-38,0.1401298E-44,
 0.1063500E+04,0.6856000E+07,0.5040000E+06,0.2106147E+00,0.7657143E+00,0.1720038E-38,0.1401298E-44,
 0.1064500E+04,0.6856000E+07,0.5040000E+06,0.2178788E+00,0.7566667E+00,0.1720038E-38,0.1401298E-44,
 0.1065500E+04,0.6856000E+07,0.5040000E+06,0.2157749E+00,0.7685714E+00,0.1720038E-38,0.1401298E-44,
 0.1066500E+04,0.6856000E+07,0.5040000E+06,0.2029091E+00,0.7333333E+00,0.1720038E-38,0.1401298E-44,
 0.1067500E+04,0.6856000E+07,0.5040000E+06,0.2287533E+00,0.7528571E+00,0.1720038E-38,0.1401298E-44,
 0.1068500E+04,0.6856000E+07,0.5040000E+06,0.2397143E+00,0.7614286E+00,0.1720038E-38,0.1401298E-44,
 0.1069500E+04,0.6856000E+07,0.5040000E+06,0.2119697E+00,0.7350000E+00,0.1720038E-38,0.1401298E-44,
 0.1070500E+04,0.6856000E+07,0.5040000E+06,0.2053160E+00,0.7128571E+00,0.1720038E-38,0.1401298E-44,
 0.1071500E+04,0.6856000E+07,0.5040000E+06,0.2081212E+00,0.7433333E+00,0.1720038E-38,0.1401298E-44,
 0.1072500E+04,0.6856000E+07,0.5040000E+06,0.2012900E+00,0.7242857E+00,0.1720038E-38,0.1401298E-44,
 0.1073500E+04,0.6856000E+07,0.5040000E+06,0.2007071E+00,0.6866667E+00,0.1720038E-38,0.1401298E-44,
