Easting,Northing,Depth,PHI,Vsh
504000,6856000,911.25,0.220727273,0.71
504000,6856000,911.4,0.238909091,0.71
504000,6856000,911.55,0.238484848,0.69
504000,6856000,911.71,0.229212121,0.72
504000,6856000,911.86,0.220242424,0.7
504000,6856000,912.01,0.213272727,0.65
504000,6856000,912.16,0.212424242,0.61
504000,6856000,912.32,0.215030303,0.66
504000,6856000,912.47,0.22230303,0.66
504000,6856000,912.62,0.228969697,0.69
504000,6856000,912.77,0.227272727,0.71
504000,6856000,912.92,0.234969697,0.69
504000,6856000,913.08,0.227575758,0.68
504000,6856000,913.23,0.218969697,0.69
504000,6856000,913.38,0.223090909,0.69
504000,6856000,913.53,0.228484848,0.74
504000,6856000,913.69,0.22369697,0.75
504000,6856000,913.84,0.220848485,0.68
504000,6856000,913.99,0.233090909,0.68
504000,6856000,914.14,0.227333333,0.68
504000,6856000,914.3,0.209030303,0.67
504000,6856000,914.45,0.230242424,0.68
504000,6856000,914.6,0.260242424,0.61
504000,6856000,914.75,0.239515152,0.63
504000,6856000,914.91,0.232545455,0.7
504000,6856000,915.06,0.231575758,0.72
504000,6856000,915.21,0.225878788,0.71
504000,6856000,915.36,0.232363636,0.67
504000,6856000,915.52,0.222060606,0.66
504000,6856000,915.67,0.225454545,0.71
504000,6856000,915.82,0.233393939,0.73
504000,6856000,915.97,0.228909091,0.69
504000,6856000,916.13,0.224242424,0.72
504000,6856000,916.28,0.230666667,0.71
504000,6856000,916.43,0.234545455,0.67
504000,6856000,916.58,0.233818182,0.72
504000,6856000,916.73,0.230606061,0.71
504000,6856000,916.89,0.231393939,0.68
504000,6856000,917.04,0.257030303,0.68
504000,6856000,917.19,0.282424242,0.72
504000,6856000,917.34,0.284909091,0.71
504000,6856000,917.5,0.272121212,0.71
504000,6856000,917.65,0.254969697,0.7
504000,6856000,917.8,0.243212121,0.68
504000,6856000,917.95,0.233575758,0.72
504000,6856000,918.11,0.228909091,0.73
504000,6856000,918.26,0.219757576,0.7
504000,6856000,918.41,0.215878788,0.68
504000,6856000,918.56,0.219939394,0.68
504000,6856000,918.72,0.214545455,0.67
504000,6856000,918.87,0.207575758,0.68
504000,6856000,919.02,0.210121212,0.68
504000,6856000,919.17,0.224060606,0.74
504000,6856000,919.33,0.221454545,0.71
504000,6856000,919.48,0.213393939,0.68
504000,6856000,919.63,0.215272727,0.73
504000,6856000,919.78,0.216060606,0.72
504000,6856000,919.94,0.214242424,0.69
504000,6856000,920.09,0.213151515,0.68
504000,6856000,920.24,0.214545455,0.66
504000,6856000,920.39,0.225272727,0.68
504000,6856000,920.54,0.226424242,0.72
504000,6856000,920.7,0.213090909,0.63
504000,6856000,920.85,0.194606061,0.61
504000,6856000,921,0.201515152,0.62
504000,6856000,921.15,0.204848485,0.66
504000,6856000,921.31,0.209878788,0.62
504000,6856000,921.46,0.200969697,0.59
504000,6856000,921.61,0.191454545,0.62
504000,6856000,921.76,0.199575758,0.61
504000,6856000,921.92,0.202060606,0.61
504000,6856000,922.07,0.214484848,0.65
504000,6856000,922.22,0.223878788,0.67
504000,6856000,922.37,0.225757576,0.66
504000,6856000,922.53,0.229454545,0.65
504000,6856000,922.68,0.231151515,0.7
504000,6856000,922.83,0.235575758,0.71
504000,6856000,922.98,0.226545455,0.72
504000,6856000,923.14,0.216606061,0.69
504000,6856000,923.29,0.220242424,0.67
504000,6856000,923.44,0.212727273,0.68
504000,6856000,923.59,0.214787879,0.69
504000,6856000,923.75,0.232909091,0.67
504000,6856000,923.9,0.227575758,0.67
504000,6856000,924.05,0.223757576,0.7
504000,6856000,924.2,0.228787879,0.72
504000,6856000,924.35,0.218848485,0.74
504000,6856000,924.51,0.191151515,0.69
504000,6856000,924.66,0.204545455,0.68
504000,6856000,924.81,0.207212121,0.68
504000,6856000,924.96,0.204242424,0.71
504000,6856000,925.12,0.210060606,0.69
504000,6856000,925.27,0.208,0.66
504000,6856000,925.42,0.196,0.73
504000,6856000,925.57,0.211151515,0.72
504000,6856000,925.73,0.218909091,0.7
504000,6856000,925.88,0.205878788,0.68
504000,6856000,926.03,0.222363636,0.64
504000,6856000,926.18,0.226060606,0.7
504000,6856000,926.34,0.221575758,0.7
504000,6856000,926.49,0.216424242,0.68
504000,6856000,926.64,0.207090909,0.71
504000,6856000,926.79,0.200424242,0.69
504000,6856000,926.95,0.217212121,0.64
504000,6856000,927.1,0.212666667,0.63
504000,6856000,927.25,0.197212121,0.59
504000,6856000,927.4,0.207212121,0.59
504000,6856000,927.56,0.204727273,0.64
504000,6856000,927.71,0.208606061,0.68
504000,6856000,927.86,0.211212121,0.65
504000,6856000,928.01,0.20030303,0.69
504000,6856000,928.16,0.201030303,0.72
504000,6856000,928.32,0.216242424,0.71
504000,6856000,928.47,0.226969697,0.72
504000,6856000,928.62,0.227333333,0.74
504000,6856000,928.77,0.234484848,0.76
504000,6856000,928.93,0.235090909,0.73
504000,6856000,929.08,0.222666667,0.75
504000,6856000,929.23,0.220484848,0.78
504000,6856000,929.38,0.223454545,0.7
504000,6856000,929.54,0.233757576,0.65
504000,6856000,929.69,0.235393939,0.68
504000,6856000,929.84,0.221515152,0.7
504000,6856000,929.99,0.218606061,0.74
504000,6856000,930.15,0.216727273,0.74
504000,6856000,930.3,0.220060606,0.72
504000,6856000,930.45,0.217757576,0.75
504000,6856000,930.6,0.208121212,0.76
504000,6856000,930.76,0.213030303,0.74
504000,6856000,930.91,0.229333333,0.74
504000,6856000,931.06,0.23630303,0.72
504000,6856000,931.21,0.238484848,0.71
504000,6856000,931.37,0.241272727,0.69
504000,6856000,931.52,0.235090909,0.7
504000,6856000,931.67,0.228969697,0.74
504000,6856000,931.82,0.233515152,0.72
504000,6856000,931.97,0.249575758,0.7
504000,6856000,932.13,0.256848485,0.71
504000,6856000,932.28,0.252484848,0.72
504000,6856000,932.43,0.238909091,0.69
504000,6856000,932.58,0.241030303,0.66
