Depth,Vscale,Age,
  0.561876E+03, 0.502995E+00, 0.684703E+01,
  0.562029E+03, 0.509259E+00, 0.687995E+01,
  0.562181E+03, 0.514983E+00, 0.691286E+01,
  0.562333E+03, 0.519096E+00, 0.694578E+01,
  0.562486E+03, 0.522073E+00, 0.697870E+01,
  0.562638E+03, 0.525449E+00, 0.701162E+01,
  0.562791E+03, 0.529395E+00, 0.704454E+01,
  0.562943E+03, 0.532436E+00, 0.707746E+01,
  0.563095E+03, 0.533381E+00, 0.711037E+01,
  0.563248E+03, 0.532405E+00, 0.714329E+01,
  0.563400E+03, 0.529257E+00, 0.717621E+01,
  0.563553E+03, 0.522760E+00, 0.720913E+01,
  0.563705E+03, 0.515247E+00, 0.724205E+01,
  0.563857E+03, 0.511493E+00, 0.727497E+01,
  0.564010E+03, 0.511632E+00, 0.730788E+01,
  0.564162E+03, 0.512355E+00, 0.734080E+01,
  0.564315E+03, 0.511954E+00, 0.737372E+01,
  0.564467E+03, 0.510981E+00, 0.740664E+01,
  0.564619E+03, 0.510317E+00, 0.743956E+01,
  0.564772E+03, 0.509557E+00, 0.747248E+01,
  0.564924E+03, 0.507959E+00, 0.750540E+01,
  0.565077E+03, 0.505711E+00, 0.753831E+01,
  0.565229E+03, 0.503079E+00, 0.757123E+01,
  0.565381E+03, 0.499943E+00, 0.760415E+01,
  0.565534E+03, 0.496576E+00, 0.763707E+01,
  0.565686E+03, 0.493795E+00, 0.766999E+01,
  0.565839E+03, 0.491941E+00, 0.770291E+01,
  0.565991E+03, 0.489959E+00, 0.773582E+01,
  0.566143E+03, 0.486577E+00, 0.776874E+01,
  0.566296E+03, 0.481973E+00, 0.780166E+01,
  0.566448E+03, 0.477847E+00, 0.783458E+01,
  0.566601E+03, 0.475576E+00, 0.786750E+01,
  0.566753E+03, 0.474699E+00, 0.790042E+01,
  0.566905E+03, 0.473814E+00, 0.793333E+01,
  0.567058E+03, 0.472049E+00, 0.796625E+01,
  0.567210E+03, 0.469796E+00, 0.799917E+01,
  0.567363E+03, 0.468076E+00, 0.803209E+01,
  0.567515E+03, 0.467172E+00, 0.806501E+01,
  0.567667E+03, 0.466554E+00, 0.809793E+01,
  0.567820E+03, 0.465950E+00, 0.813085E+01,
  0.567972E+03, 0.465500E+00, 0.816376E+01,
  0.568125E+03, 0.464837E+00, 0.819668E+01,
  0.568277E+03, 0.462900E+00, 0.822960E+01,
  0.568429E+03, 0.459273E+00, 0.826252E+01,
  0.568582E+03, 0.454964E+00, 0.829544E+01,
  0.568734E+03, 0.451264E+00, 0.832835E+01,
  0.568887E+03, 0.448538E+00, 0.836127E+01,
  0.569039E+03, 0.446563E+00, 0.839419E+01,
  0.569191E+03, 0.445514E+00, 0.842711E+01,
  0.569344E+03, 0.445273E+00, 0.846003E+01,
  0.569496E+03, 0.445025E+00, 0.849295E+01,
  0.569649E+03, 0.444290E+00, 0.852587E+01,
  0.569801E+03, 0.443485E+00, 0.855878E+01,
  0.569953E+03, 0.443791E+00, 0.859170E+01,
  0.570106E+03, 0.445369E+00, 0.862462E+01,
  0.570258E+03, 0.446799E+00, 0.865754E+01,
  0.570411E+03, 0.447352E+00, 0.869046E+01,
  0.570563E+03, 0.447517E+00, 0.872338E+01,
  0.570715E+03, 0.448879E+00, 0.875629E+01,
  0.570868E+03, 0.453727E+00, 0.878921E+01,
  0.571020E+03, 0.460547E+00, 0.882213E+01,
  0.571173E+03, 0.463981E+00, 0.885505E+01,
  0.571325E+03, 0.461643E+00, 0.888797E+01,
  0.571477E+03, 0.456338E+00, 0.892089E+01,
  0.571630E+03, 0.451592E+00, 0.895380E+01,
  0.571782E+03, 0.448577E+00, 0.898672E+01,
  0.571935E+03, 0.447110E+00, 0.901964E+01,
  0.572087E+03, 0.446426E+00, 0.905256E+01,
  0.572239E+03, 0.445791E+00, 0.908548E+01,
  0.572392E+03, 0.445518E+00, 0.911840E+01,
  0.572544E+03, 0.446356E+00, 0.915131E+01,
  0.572697E+03, 0.448777E+00, 0.918423E+01,
  0.572849E+03, 0.452974E+00, 0.921715E+01,
  0.573001E+03, 0.457977E+00, 0.925007E+01,
  0.573154E+03, 0.461991E+00, 0.928299E+01,
  0.573306E+03, 0.463668E+00, 0.931591E+01,
  0.573459E+03, 0.461667E+00, 0.934883E+01,
  0.573611E+03, 0.454990E+00, 0.938174E+01,
  0.573763E+03, 0.445676E+00, 0.941466E+01,
  0.573916E+03, 0.436910E+00, 0.944758E+01,
  0.574068E+03, 0.429516E+00, 0.948050E+01,
  0.574221E+03, 0.424807E+00, 0.951342E+01,
  0.574373E+03, 0.427440E+00, 0.954634E+01,
  0.574525E+03, 0.443470E+00, 0.957925E+01,
  0.574678E+03, 0.475028E+00, 0.961217E+01,
  0.574830E+03, 0.515868E+00, 0.964509E+01,
  0.574983E+03, 0.557483E+00, 0.967801E+01,
  0.575135E+03, 0.599300E+00, 0.971093E+01,
  0.575287E+03, 0.641161E+00, 0.974385E+01,
  0.575440E+03, 0.676673E+00, 0.977676E+01,
  0.575592E+03, 0.700817E+00, 0.980968E+01,
  0.575745E+03, 0.712612E+00, 0.984260E+01,
  0.575897E+03, 0.714480E+00, 0.987552E+01,
  0.576049E+03, 0.708440E+00, 0.990844E+01,
  0.576202E+03, 0.692588E+00, 0.994136E+01,
  0.576354E+03, 0.668204E+00, 0.997428E+01,
  0.576507E+03, 0.644177E+00, 0.100072E+02,
  0.576659E+03, 0.628339E+00, 0.100401E+02,
  0.576811E+03, 0.621271E+00, 0.100730E+02,
  0.576964E+03, 0.620281E+00, 0.101059E+02,
  0.577116E+03, 0.622213E+00, 0.101389E+02,
  0.577269E+03, 0.623787E+00, 0.101718E+02,
  0.577421E+03, 0.626148E+00, 0.102047E+02,
  0.577573E+03, 0.634418E+00, 0.102376E+02,
  0.577726E+03, 0.648958E+00, 0.102705E+02,
  0.577878E+03, 0.664723E+00, 0.103035E+02,
  0.578031E+03, 0.678945E+00, 0.103364E+02,
  0.578183E+03, 0.692187E+00, 0.103693E+02,
  0.578335E+03, 0.704343E+00, 0.104022E+02,
  0.578488E+03, 0.713860E+00, 0.104351E+02,
  0.578640E+03, 0.719758E+00, 0.104681E+02,
  0.578793E+03, 0.724179E+00, 0.105010E+02,
  0.578945E+03, 0.732274E+00, 0.105339E+02,
  0.579097E+03, 0.746761E+00, 0.105668E+02,
  0.579250E+03, 0.765498E+00, 0.105997E+02,
  0.579402E+03, 0.785459E+00, 0.106326E+02,
  0.579555E+03, 0.803232E+00, 0.106656E+02,
  0.579707E+03, 0.816356E+00, 0.106985E+02,
  0.579859E+03, 0.826822E+00, 0.107314E+02,
  0.580012E+03, 0.837213E+00, 0.107643E+02,
  0.580164E+03, 0.847096E+00, 0.107972E+02,
  0.580317E+03, 0.855063E+00, 0.108302E+02,
  0.580469E+03, 0.860550E+00, 0.108631E+02,
  0.580621E+03, 0.863043E+00, 0.108960E+02,
  0.580774E+03, 0.862610E+00, 0.109289E+02,
  0.580926E+03, 0.862176E+00, 0.109618E+02,
  0.581079E+03, 0.866803E+00, 0.109947E+02,
  0.581231E+03, 0.878069E+00, 0.110277E+02,
  0.581383E+03, 0.889669E+00, 0.110606E+02,
  0.581536E+03, 0.895315E+00, 0.110935E+02,
  0.581688E+03, 0.896314E+00, 0.111264E+02,
  0.581841E+03, 0.898364E+00, 0.111593E+02,
  0.581993E+03, 0.907327E+00, 0.111923E+02,
  0.582145E+03, 0.923592E+00, 0.112252E+02,
  0.582298E+03, 0.937556E+00, 0.112581E+02,
  0.582450E+03, 0.941783E+00, 0.112910E+02,
  0.582603E+03, 0.939878E+00, 0.113239E+02,
  0.582755E+03, 0.935473E+00, 0.113568E+02,
  0.582907E+03, 0.925807E+00, 0.113898E+02,
  0.583060E+03, 0.908910E+00, 0.114227E+02,
  0.583212E+03, 0.888616E+00, 0.114556E+02,
  0.583365E+03, 0.868833E+00, 0.114885E+02,
  0.583517E+03, 0.857424E+00, 0.115214E+02,
  0.583669E+03, 0.856512E+00, 0.115544E+02,
  0.583822E+03, 0.857095E+00, 0.115873E+02,
  0.583974E+03, 0.856145E+00, 0.116202E+02,
  0.584127E+03, 0.857020E+00, 0.116531E+02,
  0.584279E+03, 0.862178E+00, 0.116860E+02,
  0.584431E+03, 0.869523E+00, 0.117190E+02,
  0.584584E+03, 0.871566E+00, 0.117519E+02,
  0.584736E+03, 0.866852E+00, 0.117848E+02,
  0.584889E+03, 0.861216E+00, 0.118177E+02,
  0.585041E+03, 0.855967E+00, 0.118506E+02,
  0.585193E+03, 0.848967E+00, 0.118835E+02,
  0.585346E+03, 0.840612E+00, 0.119165E+02,
  0.585498E+03, 0.836041E+00, 0.119494E+02,
  0.585651E+03, 0.837306E+00, 0.119823E+02,
  0.585803E+03, 0.840166E+00, 0.120152E+02,
  0.585955E+03, 0.842171E+00, 0.120481E+02,
  0.586108E+03, 0.841638E+00, 0.120811E+02,
  0.586260E+03, 0.834692E+00, 0.121140E+02,
  0.586413E+03, 0.822258E+00, 0.121469E+02,
  0.586565E+03, 0.810922E+00, 0.121798E+02,
  0.586717E+03, 0.804382E+00, 0.122127E+02,
  0.586870E+03, 0.801032E+00, 0.122456E+02,
  0.587022E+03, 0.796805E+00, 0.122786E+02,
  0.587175E+03, 0.788152E+00, 0.123115E+02,
  0.587327E+03, 0.776573E+00, 0.123444E+02,
  0.587479E+03, 0.767712E+00, 0.123773E+02,
  0.587632E+03, 0.765013E+00, 0.124102E+02,
  0.587784E+03, 0.768530E+00, 0.124432E+02,
  0.587937E+03, 0.776980E+00, 0.124761E+02,
  0.588089E+03, 0.786678E+00, 0.125090E+02,
  0.588241E+03, 0.792030E+00, 0.125419E+02,
  0.588394E+03, 0.789891E+00, 0.125748E+02,
  0.588546E+03, 0.782148E+00, 0.126077E+02,
  0.588699E+03, 0.772998E+00, 0.126407E+02,
  0.588851E+03, 0.763803E+00, 0.126736E+02,
  0.589003E+03, 0.754732E+00, 0.127065E+02,
  0.589156E+03, 0.748641E+00, 0.127394E+02,
  0.589308E+03, 0.747096E+00, 0.127723E+02,
  0.589461E+03, 0.748805E+00, 0.128053E+02,
  0.589613E+03, 0.752612E+00, 0.128382E+02,
  0.589765E+03, 0.757352E+00, 0.128711E+02,
  0.589918E+03, 0.761484E+00, 0.129040E+02,
  0.590070E+03, 0.763881E+00, 0.129369E+02,
  0.590223E+03, 0.763390E+00, 0.129698E+02,
  0.590375E+03, 0.759221E+00, 0.130028E+02,
  0.590527E+03, 0.752365E+00, 0.130357E+02,
  0.590680E+03, 0.744474E+00, 0.130686E+02,
  0.590832E+03, 0.736156E+00, 0.131015E+02,
  0.590985E+03, 0.726431E+00, 0.131344E+02,
  0.591137E+03, 0.713021E+00, 0.131674E+02,
  0.591289E+03, 0.695958E+00, 0.132003E+02,
  0.591442E+03, 0.680854E+00, 0.132332E+02,
  0.591594E+03, 0.671544E+00, 0.132661E+02,
  0.591747E+03, 0.662698E+00, 0.132990E+02,
  0.591899E+03, 0.648732E+00, 0.133320E+02,
  0.592051E+03, 0.634866E+00, 0.133649E+02,
  0.592204E+03, 0.628522E+00, 0.133978E+02,
  0.592356E+03, 0.628253E+00, 0.134307E+02,
  0.592509E+03, 0.632316E+00, 0.134636E+02,
  0.592661E+03, 0.643075E+00, 0.134965E+02,
  0.592813E+03, 0.655435E+00, 0.135295E+02,
  0.592966E+03, 0.663783E+00, 0.135624E+02,
  0.593118E+03, 0.678135E+00, 0.135953E+02,
  0.593271E+03, 0.708869E+00, 0.136282E+02,
  0.593423E+03, 0.746119E+00, 0.136611E+02,
  0.593575E+03, 0.776842E+00, 0.136941E+02,
  0.593728E+03, 0.798247E+00, 0.137270E+02,
  0.593880E+03, 0.810731E+00, 0.137599E+02,
  0.594033E+03, 0.819674E+00, 0.137928E+02,
  0.594185E+03, 0.830414E+00, 0.138257E+02,
  0.594337E+03, 0.840795E+00, 0.138586E+02,
  0.594490E+03, 0.846737E+00, 0.138916E+02,
  0.594642E+03, 0.848235E+00, 0.139245E+02,
  0.594795E+03, 0.847097E+00, 0.139574E+02,
  0.594947E+03, 0.844918E+00, 0.139903E+02,
  0.595099E+03, 0.841641E+00, 0.140232E+02,
  0.595252E+03, 0.835513E+00, 0.140562E+02,
  0.595404E+03, 0.829579E+00, 0.140891E+02,
  0.595557E+03, 0.830531E+00, 0.141220E+02,
  0.595709E+03, 0.837825E+00, 0.141549E+02,
  0.595861E+03, 0.845788E+00, 0.141878E+02,
  0.596014E+03, 0.852165E+00, 0.142207E+02,
  0.596166E+03, 0.857656E+00, 0.142537E+02,
  0.596319E+03, 0.863634E+00, 0.142866E+02,
  0.596471E+03, 0.871607E+00, 0.143195E+02,
  0.596623E+03, 0.878723E+00, 0.143524E+02,
  0.596776E+03, 0.878724E+00, 0.143853E+02,
  0.596928E+03, 0.871666E+00, 0.144183E+02,
  0.597081E+03, 0.863837E+00, 0.144512E+02,
  0.597233E+03, 0.859287E+00, 0.144841E+02,
  0.597385E+03, 0.857707E+00, 0.145170E+02,
  0.597538E+03, 0.857424E+00, 0.145499E+02,
  0.597690E+03, 0.857825E+00, 0.145829E+02,
  0.597843E+03, 0.859244E+00, 0.146158E+02,
  0.597995E+03, 0.862668E+00, 0.146487E+02,
  0.598147E+03, 0.870093E+00, 0.146816E+02,
  0.598300E+03, 0.880873E+00, 0.147145E+02,
  0.598452E+03, 0.890213E+00, 0.147474E+02,
  0.598605E+03, 0.895066E+00, 0.147804E+02,
  0.598757E+03, 0.896756E+00, 0.148133E+02,
  0.598909E+03, 0.897632E+00, 0.148462E+02,
  0.599062E+03, 0.898970E+00, 0.148791E+02,
  0.599214E+03, 0.900801E+00, 0.149120E+02,
  0.599367E+03, 0.902442E+00, 0.149450E+02,
  0.599519E+03, 0.903333E+00, 0.149779E+02,
  0.599671E+03, 0.903421E+00, 0.150108E+02,
  0.599824E+03, 0.903073E+00, 0.150437E+02,
  0.599976E+03, 0.902470E+00, 0.150766E+02,
  0.600129E+03, 0.901346E+00, 0.151095E+02,
  0.600281E+03, 0.899717E+00, 0.151425E+02,
  0.600433E+03, 0.898121E+00, 0.151754E+02,
  0.600586E+03, 0.896819E+00, 0.152083E+02,
  0.600738E+03, 0.895416E+00, 0.152412E+02,
  0.600891E+03, 0.893820E+00, 0.152741E+02,
  0.601043E+03, 0.892744E+00, 0.153071E+02,
  0.601195E+03, 0.892434E+00, 0.153400E+02,
  0.601348E+03, 0.892317E+00, 0.153729E+02,
  0.601500E+03, 0.892382E+00, 0.154058E+02,
  0.601653E+03, 0.892990E+00, 0.154387E+02,
  0.601805E+03, 0.894077E+00, 0.154716E+02,
  0.601957E+03, 0.895490E+00, 0.155046E+02,
  0.602110E+03, 0.897423E+00, 0.155375E+02,
  0.602262E+03, 0.900058E+00, 0.155704E+02,
  0.602415E+03, 0.902965E+00, 0.156033E+02,
  0.602567E+03, 0.905428E+00, 0.156362E+02,
  0.602719E+03, 0.907937E+00, 0.156692E+02,
  0.602872E+03, 0.914010E+00, 0.157021E+02,
  0.603024E+03, 0.925987E+00, 0.157350E+02,
  0.603177E+03, 0.939766E+00, 0.157679E+02,
  0.603329E+03, 0.949826E+00, 0.158008E+02,
  0.603481E+03, 0.954866E+00, 0.158338E+02,
  0.603634E+03, 0.956786E+00, 0.158667E+02,
  0.603786E+03, 0.958171E+00, 0.158996E+02,
  0.603939E+03, 0.959714E+00, 0.159325E+02,
  0.604091E+03, 0.960083E+00, 0.159654E+02,
  0.604243E+03, 0.959089E+00, 0.159983E+02,
  0.604396E+03, 0.958182E+00, 0.160313E+02,
  0.604548E+03, 0.957312E+00, 0.160642E+02,
  0.604701E+03, 0.955236E+00, 0.160971E+02,
  0.604853E+03, 0.951179E+00, 0.161300E+02,
  0.605005E+03, 0.943655E+00, 0.161629E+02,
  0.605158E+03, 0.931014E+00, 0.161959E+02,
  0.605310E+03, 0.912286E+00, 0.162288E+02,
  0.605463E+03, 0.883134E+00, 0.162617E+02,
  0.605615E+03, 0.838310E+00, 0.162946E+02,
  0.605767E+03, 0.779324E+00, 0.163275E+02,
  0.605920E+03, 0.714821E+00, 0.163604E+02,
