Easting,Northing,Depth,Age,Layer.sub,Vsh,Vca,Vcp,Vom,Vev,Vig,Vss,Porosity,K_{mD},PeHg_{MPa},Closure_{m},Vms,Shc,Sgas,Soil,GasColumn,OilColumn,Pc_Pe_{MPa},Pc_{MPa},GOC,OWC,FlowDirection,TotalPressure,LeakOffPressure,Temperature_{C},TWT,Vitrinite,Sublayer Thickness_{m},Sublayer Duration_{My}
   483250.00    ,  6845250.0    , -3076.1855    , -125.00000    ,  6.0009999    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  1.0000000    ,  0.0000000    ,  0.0000000    , 0.10000000E-02, 0.10000000E-09,  10000.000    ,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  61.716206    ,  54.158035    ,  135.27782    , -3076.1855    , 0.20189652    ,  86.002716    ,  2.1250000    ,
   483250.00    ,  6845250.0    , -3162.1882    , -127.12500    ,  6.0019999    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  1.0000000    ,  0.0000000    ,  0.0000000    , 0.10000000E-02, 0.10000000E-09,  10000.000    ,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  63.572315    ,  56.011665    ,  139.49194    , -3162.1882    , 0.20189652    ,  86.002716    ,  2.1250000    ,
   483250.00    ,  6845250.0    , -3248.1909    , -129.25000    ,  6.0029998    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  1.0000000    ,  0.0000000    ,  0.0000000    , 0.10000000E-02, 0.10000000E-09,  10000.000    ,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  65.428421    ,  57.880379    ,  143.70607    , -3248.1909    , 0.20189652    ,  86.002716    ,  2.1250000    ,
   483250.00    ,  6845250.0    , -3334.1936    , -131.37500    ,  6.0040002    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  1.0000000    ,  0.0000000    ,  0.0000000    , 0.10000000E-02, 0.10000000E-09,  10000.000    ,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  67.284538    ,  59.764187    ,  147.92021    , -3334.1936    , 0.20189652    ,  86.002716    ,  2.1250000    ,
   483250.00    ,  6845250.0    , -3420.1963    , -133.50000    ,  6.0050001    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  1.0000000    ,  0.0000000    ,  0.0000000    , 0.10000000E-02, 0.10000000E-09,  10000.000    ,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  69.140648    ,  61.663082    ,  152.13435    , -3420.1963    , 0.20189652    ,  86.002716    ,  2.1250000    ,
   483250.00    ,  6845250.0    , -3506.1992    , -135.62500    ,  6.0060000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  1.0000000    ,  0.0000000    ,  0.0000000    , 0.10000000E-02, 0.10000000E-09,  10000.000    ,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  70.996758    ,  63.577076    ,  156.34850    , -3506.1992    , 0.20189652    ,  86.002716    ,  2.1250000    ,
   483250.00    ,  6845250.0    , -3592.2019    , -137.75000    ,  6.0070000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  1.0000000    ,  0.0000000    ,  0.0000000    , 0.10000000E-02, 0.10000000E-09,  10000.000    ,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  72.852875    ,  65.506157    ,  160.56261    , -3592.2019    , 0.20189652    ,  86.002716    ,  2.1250000    ,
   483250.00    ,  6845250.0    , -3678.2046    , -139.87500    ,  6.0079999    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  1.0000000    ,  0.0000000    ,  0.0000000    , 0.10000000E-02, 0.10000000E-09,  10000.000    ,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  74.708984    ,  67.450310    ,  164.77675    , -3678.2046    , 0.20189652    ,  86.002716    ,  2.1250000    ,
   483250.00    ,  6845250.0    , -3764.2073    , -142.00000    ,  7.0009999    , 0.94999999    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.50000012E-01, 0.11647781    , 0.11867414E-03,  9.4506674    ,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  76.565094    ,  69.409561    ,  168.99088    , -3764.2073    , 0.20189652    , 0.44006348    , 0.25000000    ,
   483250.00    ,  6845250.0    , -3764.6475    , -142.25000    ,  7.0019999    , 0.94999999    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.50000012E-01, 0.11645229    , 0.11860432E-03,  9.4525032    ,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  76.574593    ,  69.419632    ,  169.01242    , -3764.6475    , 0.20189652    , 0.44006348    , 0.25000000    ,
