Layer,Strata,Age,Depth,VshStrata,VshLayer,VcaStrata,VcaLayer,VcpStrata,VcpLayer,VevStrata,VevLayer,VomStrata,VomLayer,VigStrata,VigLayer,YieldStrata,YieldLayer
  0.600000E+01, 0.400000E+01, 0.131375E+03, 0.375000E+00, 0.129252E+01, 0.154319E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.129252E+01, 0.154319E+00,
  0.600000E+01, 0.500000E+01, 0.133500E+03, 0.500000E+00, 0.924345E+00, 0.154319E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.924345E+00, 0.154319E+00,
  0.600000E+01, 0.600000E+01, 0.135625E+03, 0.625000E+00, 0.886314E+00, 0.154319E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.886314E+00, 0.154319E+00,
  0.600000E+01, 0.700000E+01, 0.137750E+03, 0.750000E+00, 0.948368E+00, 0.154319E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.948368E+00, 0.154319E+00,
  0.600000E+01, 0.800000E+01, 0.139875E+03, 0.875000E+00, 0.823095E+00, 0.154319E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.823095E+00, 0.154319E+00,
  0.600000E+01, 0.900000E+01, 0.142000E+03, 0.100000E+01, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.100000E+01,
  0.700000E+01, 0.100000E+01, 0.142000E+03, 0.000000E+00, 0.104000E+01, 0.132855E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.104000E+01, 0.132855E+00,
  0.700000E+01, 0.200000E+01, 0.142250E+03, 0.250000E+00, 0.976079E+00, 0.132855E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.976079E+00, 0.132855E+00,
  0.700000E+01, 0.300000E+01, 0.142500E+03, 0.500000E+00, 0.108884E+01, 0.132855E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.108884E+01, 0.132855E+00,
  0.700000E+01, 0.400000E+01, 0.142750E+03, 0.750000E+00, 0.895083E+00, 0.132855E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.895083E+00, 0.132855E+00,
