Filename,Type,Date,Time,Comment
C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\db\m194.irap,Grid,20201105,142429.131,C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\db\m194.irap
C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\db\m180-constructed.irap.gri,Grid,20201105,142443.631,C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\db\m180-constructed.irap.gri
stochastic\MigriAlfa-2-stochinfo.csv,Missing,20201105,142459.457,stochastic\MigriAlfa-2-stochinfo.csv
C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\migri\defaults\stochastic\MigriAlfa-2-stochinfo.csv,Missing,20201105,142459.457,C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\migri\defaults/stochastic\MigriAlfa-2-stochinfo.csv
stochastic\MigriAlfa-2-stochinfo.csv,Missing,20201105,142459.457,stochastic/MigriAlfa-2-stochinfo.csv
C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\migri\MigriAlfa-3.mirp,Table,20201105,142459.505,C:/Users/areto/Downloads/MigriAlfa-main/MigriAlfa-main/MigriAlfa/migri/MigriAlfa-3.mirp
migri-aliases.csv,Missing,20201105,142459.530,migri-aliases.csv
mwd.irap,Grid,20201105,142459.555,mwd.irap
mtmj.irap,Grid,20201105,142459.566,mtmj.irap
mwd.irap,Grid,20201105,142459.569,mwd.irap
mtmj.irap,Grid,20201105,142459.572,mtmj.irap
mwd.irap,Grid,20201105,142459.632,mwd.irap
mtmj.irap,Grid,20201105,142459.635,mtmj.irap
mwd.irap,Grid,20201105,142459.637,mwd.irap
mtmj.irap,Grid,20201105,142459.639,mtmj.irap
mtmi.irap,Grid,20201105,142459.653,mtmi.irap
mtpa.irap,Grid,20201105,142459.666,mtpa.irap
mbte.irap,Grid,20201105,142459.678,mbte.irap
mcr2.irap,Grid,20201105,142459.691,mcr2.irap
mcr1.irap,Grid,20201105,142459.703,mcr1.irap
mbcr.irap,Grid,20201105,142459.716,mbcr.irap
m143.irap,Grid,20201105,142459.730,m143.irap
mtmj.irap,Grid,20201105,142459.744,mtmj.irap
m180-constructed.irap.gri,Grid,20201105,142459.760,m180-constructed.irap.gri
m174.irap,Grid,20201105,142459.773,m174.irap
m194.irap,Grid,20201105,142459.793,m194.irap
C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\migri\MigriAlfa-3.mirp,Table,20201105,142459.907,C:/Users/areto/Downloads/MigriAlfa-main/MigriAlfa-main/MigriAlfa/migri/MigriAlfa-3.mirp
migri-aliases.csv,Missing,20201105,142459.926,migri-aliases.csv
migri-mysources_mirt.csv,Table,20201105,142500.815,migri-mysources_mirt.csv
strata-hc.csv,Missing,20201105,142500.819,strata-hc.csv
migri-wells.csv,Missing,20201105,142500.820,migri-wells.csv
migri-logtraces.csv,Missing,20201105,142500.910,migri-logtraces.csv
C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\migri\defaults\migri-logtraces.csv,Missing,20201105,142500.910,C:/Users/areto/Downloads/MigriAlfa-main/MigriAlfa-main/MigriAlfa/migri/defaults/migri-logtraces.csv
C:\Users\areto\Downloads\MigriAlfa-main\MigriAlfa-main\MigriAlfa\migri\Browsetopics.mirp,Missing,20201105,142501.740,C:/Users/areto/Downloads/MigriAlfa-main/MigriAlfa-main/MigriAlfa/migri/Browsetopics.mirp
