Depth,Vscale,Age
638.381,0.255652835,23.372064
638.5334,0.244771528,23.4049824
638.6858,0.237837255,23.4379008
638.8382,0.230907368,23.4708192
638.9906,0.225073444,23.5037376
639.143,0.223936056,23.536656
639.2954,0.227593676,23.5695744
639.4478,0.234536276,23.6024928
639.6002,0.242788276,23.6354112
639.7526,0.248421337,23.6683296
639.905,0.248788581,23.701248
640.0574,0.245644578,23.7341664
640.2098,0.242968239,23.7670848
640.3622,0.242482583,23.8000032
640.5146,0.243338533,23.8329216
640.667,0.244321386,23.86584
640.8194,0.24440182,23.8987584
640.9718,0.243414253,23.9316768
641.1242,0.243235228,23.9645952
641.2766,0.247635289,23.9975136
641.429,0.258274777,24.030432
641.5814,0.270835026,24.0633504
641.7338,0.28035005,24.0962688
641.8862,0.28733865,24.1291872
642.0386,0.295175178,24.1621056
642.191,0.306117778,24.195024
642.3434,0.319138022,24.2279424
642.4958,0.330980413,24.2608608
642.6482,0.340397973,24.2937792
642.8006,0.346441205,24.3266976
642.953,0.345250029,24.359616
643.1054,0.335720673,24.3925344
643.2578,0.323165678,24.4254528
643.4102,0.313069621,24.4583712
643.5626,0.306055124,24.4912896
643.715,0.299903638,24.524208
643.8674,0.294006498,24.5571264
644.0198,0.290424644,24.5900448
644.1722,0.291329455,24.6229632
644.3246,0.296835355,24.6558816
644.477,0.305354836,24.6888
644.6294,0.315307851,24.7217184
644.7818,0.32437529,24.7546368
644.9342,0.330651615,24.7875552
645.0866,0.335114682,24.8204736
645.239,0.338490957,24.853392
645.3914,0.33946051,24.8863104
645.5438,0.337655532,24.9192288
645.6962,0.334142666,24.9521472
645.8486,0.329785063,24.9850656
646.001,0.326147381,25.017984
646.1534,0.325997162,25.0509024
646.3058,0.331311698,25.0838208
646.4582,0.340789613,25.1167392
646.6106,0.349516807,25.1496576
646.763,0.353527316,25.182576
646.9154,0.3526108,25.2154944
647.0678,0.346018742,25.2484128
647.2202,0.331904928,25.2813312
647.3726,0.313578921,25.3142496
647.525,0.297461425,25.347168
647.6774,0.284910886,25.3800864
647.8298,0.273480144,25.4130048
647.9822,0.263012268,25.4459232
648.1346,0.255842345,25.4788416
648.287,0.253566067,25.51176
648.4394,0.258435669,25.5446784
648.5918,0.274705027,25.5775968
648.7442,0.301577045,25.6105152
648.8966,0.330560414,25.6434336
649.049,0.355656823,25.676352
649.2014,0.375915789,25.7092704
649.3538,0.390224649,25.7421888
649.5062,0.398509207,25.7751072
649.6586,0.403676034,25.8080256
649.811,0.409876475,25.840944
649.9634,0.420002744,25.8738624
650.1158,0.43335629,25.9067808
650.2682,0.446749126,25.9396992
650.4206,0.457872276,25.9726176
650.573,0.465022308,26.005536
650.7254,0.466446647,26.0384544
650.8778,0.459984612,26.0713728
651.0302,0.445355492,26.1042912
